year,scope,uf,city,id,name,date,movable
2026,municipal,SP,São Paulo,aniversario_sp,Aniversário de São Paulo,2026-01-25,false
2026,state,SP,,revolucao_constitucionalista,Revolução Constitucionalista (SP),2026-07-09,false
